Oliver Connell & Son Limited,,, -   ,,,rev O,OH&P,NETT ALLOWANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client,,, -   ,,,20 May 22,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,Prelims,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,PRELIMS,
Site,,, -   ,,,ref xxxx,,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Supervision,Other,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Staff,Other
,,, Quant ,Unit,Rate,Total,18.0%,,22.61,24.44,26.28,25.97,31.78,26.89,14.44,,,41.50,,,"1,170.00",,,300.00,,,,,,,,,,,,,,,,,,,,,,,
Groundworks,,, -   ,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,1.0000,1.0000,1.0000,,,,,,man weeks,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,
,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule of Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Dispose of excavation arisings off site; clean inert material,,,m3,44.25,,6.75,37.50,,,,,,,,,,,,,,,,37.50,,,,,,,,,,,,,,,,,,,,,,,
79,Dispose of hardcore (from piling mat) off site,,,m3,19.67,,3.00,16.67,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,,,,,,,,,,,
80,Haul & deposit on site; max 50m,,,m3,5.06,,0.77,4.29,,,,,,2.07,1.11,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Piling mat design,,,item,"1,180.00",,180.00,"1,000.00",,,,,,,,,,,,,,,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,
82,Filling with free issue materials from site stockpile; load & haul max 50m,,,m3,9.93,,1.52,8.42,,1.44,,,,3.16,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Imported fill; hardcore / crushed concrete in piling mat,,,m3,27.78,,4.24,23.54,,1.44,,,,1.58,0.85,0.85,,,,,,18.82,,,,,,,,,,,,,,,,,,,,,,,,,
84,Imported fill; 6F2 in piling mat,,,m3,36.05,,5.50,30.55,,1.44,,,,1.58,0.82,0.82,,,,,,25.88,,,,,,,,,,,,,,,,,,,,,,,,,
85,Filling with free issue materials from site stockpile; to form piling mat; load & haul max 50m,,,m3,9.81,,1.50,8.31,,1.44,,,,3.16,1.86,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Form ramp between different levels of pile mat,,,nr,646.35,,98.60,547.76,,22.50,,,,24.75,13.02,12.12,,,,,,194.12,,281.25,,,,,,,,,,,,,,,,,,,,,,,
87,Credit free issue materials for piling mat,,,m3,-26.24,,-4.00,-22.24,,,,,,1.58,1.03,1.03,,,,,,-25.88,,,,,,,,,,,,,,,,,,,,,,,,,
88,Imported fill; hardcore / crushed concrete in piling mat; ne 100mm thick,,,m2,3.15,,0.48,2.67,,0.14,,,,0.47,0.08,0.08,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,
89,Imported fill; hardcore / crushed concrete in piling mat; 300mm thick,,,m2,8.33,,1.27,7.06,,0.43,,,,0.47,0.25,0.25,,,,,,5.65,,,,,,,,,,,,,,,,,,,,,,,,,
90,Filling with free issue materials from site stockpile; to form piling mat; load & haul max 50m; 300mm thk,,,m2,2.98,,0.45,2.53,,0.43,,,,0.95,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Imported fill; 6F2 in piling mat; 400mm thick,,,m2,14.44,,2.20,12.24,,0.58,,,,0.63,0.34,0.34,,,,,,10.35,,,,,,,,,,,,,,,,,,,,,,,,,
92,Imported fill; 6F2 in piling mat; 500mm thick,,,m2,18.05,,2.75,15.30,,0.72,,,,0.79,0.42,0.42,,,,,,12.94,,,,,,,,,,,,,,,,,,,,,,,,,
93,Imported fill; 6F2 in piling mat; 600mm thick,,,m2,21.67,,3.30,18.36,,0.86,,,,0.95,0.51,0.51,,,,,,15.53,,,,,,,,,,,,,,,,,,,,,,,,,
94,Imported fill; 6F2 in piling mat; 750mm thick,,,m2,27.08,,4.13,22.95,,1.08,,,,1.19,0.64,0.64,,,,,,19.41,,,,,,,,,,,,,,,,,,,,,,,,,
95,Imported fill; 6F2 in piling mat; 900mm thick,,,m2,34.03,,5.19,28.84,,1.29,,,,1.42,0.76,0.76,,,,,,24.59,,,,,,,,,,,,,,,,,,,,,,,,,
96,Level & compact surface of fill,,,m2,0.52,,0.08,0.44,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Terram,,,m2,1.47,,0.22,1.24,,0.86,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
98,Tensar Triax geogrid,,,m2,3.22,,0.49,2.73,,0.86,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,
99,Tensar Geogrid TX150,,,m2,3.05,,0.47,2.58,,0.86,,,,,,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,
100,E'grid 3030L geotextile,,,m2,3.96,,0.60,3.36,,0.86,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,
101,Level & compact piling mat,,,m2,0.53,,0.08,0.45,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Piling mat maintenance,,,m2,0.62,,0.09,0.53,,0.17,,,,0.19,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Design, mobilise, install concrete bearing piles, test & de-mobilise",,,item,"989,288.40",,"150,908.40","838,380.00",,,,,,,,,,,,,,,,,"838,380.00",,,,,,,,,,,,,,,,,,,,,,
104,"Design, mobilise, install concrete contig piles, test & de-mobilise",,,item,"266,880.60",,"40,710.60","226,170.00",,,,,,,,,,,,,,,,,"226,170.00",,,,,,,,,,,,,,,,,,,,,,
,300mm dia piles; by MBL Piling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Mobilise,,,nr,"1,180.00",,180.00,"1,000.00",,,,,,,500.00,500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Demobilise,,,nr,"1,180.00",,180.00,"1,000.00",,,,,,,500.00,500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Design,,,item,"1,180.00",,180.00,"1,000.00",,,,,,,,,,,,,,,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,
108,Set-up at pile position,,,nr,41.37,,6.31,35.06,,6.11,,,,6.72,11.11,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Auger 300mm diameter pile,,,m,9.93,,1.51,8.41,,1.47,,,,1.61,2.67,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
