Oliver Connell & Son Limited,,, -   ,,,rev O,OH&P,NETT ALLOWANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client,,, -   ,,,20 May 22,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,Prelims,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,PRELIMS,
Site,,, -   ,,,ref xxxx,,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Supervision,Other,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Staff,Other
,,, Quant ,Unit,Rate,Total,18.0%,,22.61,24.44,26.28,25.97,31.78,26.89,14.44,,,41.50,,,"1,170.00",,,300.00,,,,,,,,,,,,,,,,,,,,,,,
Groundworks,,, -   ,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,1.0000,1.0000,1.0000,,,,,,man weeks,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,
,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule of Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Exc ancilliaries; filling with SEM,,,m3,3.15,,0.48,2.67,,0.61,,,,0.67,0.69,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Exc ancilliaries; filling with 6F2,,,m3,33.69,,5.14,28.55,,0.61,,,,0.67,0.69,0.69,,,,,,25.88,,,,,,,,,,,,,,,,,,,,,,,,,
230,Soil stabilisation; lime & cement mix to C0.4/0.5; 700mm thk,,,m2,16.23,,2.48,13.75,,,,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Groundworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Excavation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Site prep; remove tree; girth ne 600,,,nr,295.00,,45.00,250.00,,,,,250.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Site prep; remove tree; girth 600-1.5m,,,nr,708.00,,108.00,600.00,,,,,600.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Site prep; remove tree; girth 1.5-3.0m,,,nr,885.00,,135.00,750.00,,,,,750.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Site prep; remove tree; girth ex 3.0m,,,nr,"1,180.00",,180.00,"1,000.00",,,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Site prep; remove tree stump; fill void with SEM,,,nr,524.02,,79.94,444.09,,97.78,,,,107.56,57.78,57.78,,,,,,38.82,,84.38,,,,,,,,,,,,,,,,,,,,,,,
236,Site clearance???,,,m2,0.46,,0.07,0.39,,0.07,,,,0.07,0.04,0.04,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,
237,Site prep; clear vegetation,,,m2,1.06,,0.16,0.90,,0.12,,,,0.13,0.07,0.07,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,
238,"Site prep; clear vegetation, bushes, small trees",,,m2,2.49,,0.38,2.11,,0.21,,,,0.23,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,
239,Excavate topsoil for preservation,,,m3,6.60,,1.01,5.59,,1.75,,,,1.92,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Excavate topsoil for preservation; 150mm depth,,,m2,0.99,,0.15,0.84,,0.26,,,,0.29,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Excavate to remove piling mat,,,m3,3.94,,0.60,3.34,,1.02,,,,1.12,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Excavate to reduce levels; ne 250mm,,,m3,5.26,,0.80,4.46,,1.36,,,,1.49,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Excavate to reduce levels; ne 1m (large quants),,,m3,1.29,,0.20,1.10,,0.41,,,,0.45,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Excavate to reduce levels; ne 1m,,,m3,4.73,,0.72,4.01,,1.22,,,,1.34,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Excavate to reduce levels; ne 2m,,,m3,4.73,,0.72,4.01,,1.22,,,,1.34,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Excavate to reduce levels; ne 4m bulk,,,m3,4.85,,0.74,4.11,,1.25,,,,1.38,0.74,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Excavate to reduce levels; ne 4m,,,m3,6.00,,0.92,5.08,,1.44,,,,1.58,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Excavate to reduce levels; ne 6m,,,m3,6.00,,0.92,5.08,,1.44,,,,1.58,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Excavate by hand,,,m3,73.42,,11.20,62.22,,48.89,,,,,6.67,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,EO for excavate by hand,,,m3,68.69,,10.48,58.21,,47.67,,,,-1.34,5.94,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Excavate basement; ne 2m dp,,,m3,6.00,,0.92,5.08,,1.44,,,,1.58,1.03,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Excavate basement; ne 4m dp,,,m3,6.38,,0.97,5.40,,1.53,,,,1.68,1.10,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Excavate basement; ne 4m dp (small/tight),,,m3,6.80,,1.04,5.76,,1.63,,,,1.79,1.17,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"Excavate basement; ne 4m dp (bulk dig, 36t exc @ 45m3/hr)",,,m3,2.92,,0.45,2.47,,0.54,,,,0.60,0.67,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Excavate basement; ne 6m dp,,,m3,7.29,,1.11,6.17,,1.75,,,,1.92,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Excavate basement; ne 8m dp,,,m3,10.20,,1.56,8.64,,2.44,,,,2.69,1.76,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Excavate basement; ne 2m dp (dble handling),,,m3,10.30,,1.57,8.73,,1.44,,,,3.16,2.07,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Excavate basement; ne 4m dp (dble handling),,,m3,10.95,,1.67,9.28,,1.53,,,,3.36,2.19,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Excavate basement; ne 6m dp (dble handling),,,m3,12.51,,1.91,10.60,,1.75,,,,3.84,2.51,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Excavate basement; ne 8m dp (dble handling),,,m3,14.60,,2.23,12.37,,2.04,,,,4.48,2.93,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Excavate basement; ne 10m dp (dble handling),,,m3,17.52,,2.67,14.84,,2.44,,,,5.38,3.51,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Excavate basement; ne 12m dp (dble handling),,,m3,21.90,,3.34,18.56,,3.06,,,,6.72,4.39,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Excavate basement; ne 14m dp (dble handling),,,m3,29.19,,4.45,24.74,,4.07,,,,8.96,5.85,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Excavate basement; ne 16m dp (dble handling),,,m3,35.03,,5.34,29.69,,4.89,,,,10.76,7.02,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Excavate basement; ne 18m dp (dble handling),,,m3,43.79,,6.68,37.11,,6.11,,,,13.44,8.78,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Excavate basement; ne 20m dp (dble handling),,,m3,58.39,,8.91,49.48,,8.15,,,,17.93,11.70,11.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Excavate basement; ne 4m dp (dble handling) & get out with conveyor at 39m3/day,,,m3,36.38,,5.55,30.83,,11.65,,,,11.00,4.09,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Excavate basement; ne 6m dp (dble handling) & get out with conveyor at 39m3/day,,,m3,41.05,,6.26,34.78,,13.14,,,,12.41,4.62,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,EO for using a conveyor,,,m3,11.85,,1.81,10.04,,9.07,,,,3.45,-1.24,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Excavate pits in basement; dble handling & get out by conveyor,,,m3,56.81,,8.67,48.14,,20.50,,,,19.36,7.20,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Form temporary ramp to 3m dp basement & remove on completion,,,nr,"20,222.54",,"3,084.79","17,137.75",,856.03,,,,941.64,618.27,618.27,,,,,,"1,397.65",,"12,705.88",,,,,,,,,,,,,,,,,,,,,,,
272,Form temporary ramp to 4m dp basement & remove on completion,,,nr,"37,628.96",,"5,740.01","31,888.95",,"1,563.36",,,,"1,719.69","1,141.78","1,141.78",,,,,,"1,863.53",,"24,458.82",,,,,,,,,,,,,,,,,,,,,,,
273,Excavate pits; ne 1m dp,,,m3,15.60,,2.38,13.22,,4.07,,,,4.48,2.33,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Excavate pits; ne 2m dp,,,m3,17.02,,2.60,14.42,,4.44,,,,4.89,2.55,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Excavate pits; ne 4m dp,,,m3,18.72,,2.86,15.87,,4.89,,,,5.38,2.80,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Excavate pits; ne 6m dp,,,m3,19.92,,3.04,16.88,,5.20,,,,5.72,2.98,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Excavate pits; ne 8m dp,,,m3,20.80,,3.17,17.63,,5.43,,,,5.98,3.11,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Excavate pits; in basement,,,m3,19.35,,2.95,16.40,,5.05,,,,5.56,2.89,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Excavate pit by hand (side cast); small quants only,,,m3,73.42,,11.20,62.22,,48.89,,,,,6.67,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Excavate pit by hand (& load into boat skip),,,m3,111.25,,16.97,94.28,,74.07,,,,,10.10,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Excavate by vacuum excavator (Based on 27m3/day); excluding C/A,,,m3,90.47,,13.80,76.67,,8.15,,,,,55.56,12.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Excavate pile caps/grd beams; ne 250mm dp,,,m3,31.20,,4.76,26.44,,8.15,,,,8.96,4.67,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Excavate pile caps/grd beams; ne 1m dp,,,m3,17.34,,2.64,14.69,,4.53,,,,4.98,2.59,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Excavate pile caps/grd beams; ne 2m dp,,,m3,19.10,,2.91,16.19,,4.99,,,,5.49,2.86,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Excavate pile caps/grd beams; ne 4m dp,,,m3,21.28,,3.25,18.03,,5.56,,,,6.11,3.18,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Excavate pile caps/grd beams; ne 6m dp,,,m3,22.29,,3.40,18.89,,5.82,,,,6.40,3.33,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Excavate pile caps/grd beams; in basement,,,m3,22.10,,3.37,18.73,,5.77,,,,6.35,3.31,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,EO excavate thrust block pits,,,m3,15.60,,2.38,13.22,,4.07,,,,4.48,2.33,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Excavate ground / capping beam; ne 1m dp,,,m3,23.40,,3.57,19.83,,6.11,,,,6.72,3.50,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Excavate trenches; ne 0.25m dp,,,m3,15.87,,2.42,13.45,,4.14,,,,4.56,2.37,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Excavate trenches; ne 1m dp,,,m3,13.37,,2.04,11.33,,3.49,,,,3.84,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Excavate trenches; ne 2m dp,,,m3,14.40,,2.20,12.21,,3.76,,,,4.14,2.15,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Excavate trenches; ne 4m dp,,,m3,15.87,,2.42,13.45,,4.14,,,,4.56,2.37,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Excavate trenches; in basement,,,m3,21.28,,3.25,18.03,,5.56,,,,6.11,3.18,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Excavate by hand; inside existing buildings & get out,,,m3,146.84,,22.40,124.44,,97.78,,,,,13.33,13.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Excavate by hand; in confined space within building & get out,,,m3,183.82,,28.04,155.78,,97.78,,,,26.89,15.56,15.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,"Soft spots, inc excavate, backfill with SEM & dispose off site",,,m3,29.44,,4.49,24.95,,5.51,,,,6.06,3.16,3.16,,,,,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,
298,"Soft spots, inc excavate, backfill with Type 6F2 & dispose off site",,,m3,93.30,,14.23,79.07,,5.51,,,,6.06,3.16,3.16,,,,,,25.88,,35.29,,,,,,,,,,,,,,,,,,,,,,,
299,"Soft spots, inc excavate, backfill with Type 1 & dispose off site",,,m3,104.40,,15.93,88.48,,5.51,,,,6.06,3.16,3.16,,,,,,35.29,,35.29,,,,,,,,,,,,,,,,,,,,,,,
300,"Soft spots, inc excavate, backfill with concrete GEN1 & dispose off site",,,m3,230.44,,35.15,195.29,15.38,4.07,,,,4.48,2.83,2.33,,,,130.90,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
301,"Demolish RC structure inc breakup, load & C/A",,,m3,128.96,,19.67,109.29,,19.80,,,,21.78,16.20,16.20,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
302,"Demolish underground RC structure inc breakup, load, C/A & backfill with 6F2",,,m3,75.34,,11.49,63.85,,7.03,,,,7.74,5.72,5.72,,,,,,25.88,,11.75,,,,,,,,,,,,,,,,,,,,,,,
303,EO excs for break out brickwk/blkwk obstructions (prov),,,m3,37.32,,5.69,31.63,,8.15,,,,8.96,7.26,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,EO excs for break out rock/stone obstructions (prov),,,m3,37.32,,5.69,31.63,,8.15,,,,8.96,7.26,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,EO excs for break out brickwork/rock obstructions; by hand (prov),,,m3,74.65,,11.39,63.26,,16.30,,,,17.93,14.52,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,EO excs for break out concrete obstructions (prov),,,m3,50.89,,7.76,43.13,,11.11,,,,12.22,9.90,9.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,EO excs for break out concrete obstructions; by hand (prov),,,m3,128.01,,19.53,108.48,,44.44,,,,24.44,19.80,19.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,EO excs for break out reinfd concrete obstructions (prov),,,m3,69.98,,10.68,59.31,,15.28,,,,16.81,13.61,13.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,EO excs for break out reinfd concrete obstructions; by hand (prov),,,m3,176.02,,26.85,149.17,,61.11,,,,33.61,27.22,27.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,EO excs for break out concrete slab; 100mm thk,,,m2,3.05,,0.47,2.59,,0.67,,,,0.73,0.59,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,EO excs for break out concrete slab; 150mm thk,,,m2,5.34,,0.82,4.53,,1.17,,,,1.28,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,EO excs for break out concrete slab; 250mm thk,,,m2,12.09,,1.84,10.24,,2.64,,,,2.90,2.35,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,EO excs for break out concrete slab; 300mm thk,,,m2,14.51,,2.21,12.29,,3.17,,,,3.48,2.82,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,EO excs for break out concrete paving; 50mm thk,,,m2,1.40,,0.21,1.19,,0.31,,,,0.34,0.27,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,EO excs for break out tarmac paving; 50mm thk,,,m2,0.93,,0.14,0.79,,0.20,,,,0.22,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,EO excs for break out tarmac paving; 100mm thk,,,m2,1.87,,0.28,1.58,,0.41,,,,0.45,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,EO excs for break out tarmac paving; 150mm thk,,,m2,2.80,,0.43,2.37,,0.61,,,,0.67,0.54,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,EO excs for break out tarmac paving; 200mm thk,,,m2,3.73,,0.57,3.16,,0.81,,,,0.90,0.73,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,EO excs for break out PC kerb and conc bed,,,m,1.49,,0.23,1.27,,0.33,,,,0.36,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,"EO excs for exc in contaminated ground, investigate and seperate arisings (prov)",,,m3,3.94,,0.60,3.34,,1.02,,,,1.12,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,EO excs for exc basement between tall piles installed at ground level (prov),,,m3,6.31,,0.96,5.35,,1.63,,,,1.79,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,EO excs for exc around temporary props,,,m,11.34,,1.73,9.61,,2.04,,,,2.24,2.67,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,EO excs for exc below grd water level (prov),,,m3,14.92,,2.28,12.64,,0.81,,,,0.90,0.47,0.47,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,
324,EO excs for exc next to extg services (prov),,,m,11.34,,1.73,9.61,,2.04,,,,2.24,2.67,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,EO excs for exc around extg services crossing trench (prov),,,nr,35.20,,5.37,29.83,,6.11,,,,6.72,8.50,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,"B/O conc, excavate & cart away",,,m3,94.57,,14.43,80.15,,12.22,,,,13.44,9.59,9.59,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
327,"EO excs for getting arisings out by conveyor belt. (Conveyor hire only, 3phase by M/C)",,,wks,"1,652.00",,252.00,"1,400.00",,,,,,,"1,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,"EO excs for conveyor belt erect, dismantle, delivery, collect, scafolding support, gantry, etc",,,item,"4,720.00",,720.00,"4,000.00",,,,,"2,500.00",,"1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,"EO excs for getting arisings out by conveyor belt. (Attendance on conveyor - exc/loader, driver and 2 labs)",,,wks,"4,967.80",,757.80,"4,210.00",,"2,200.00",,,,"1,210.00",400.00,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"Form openings for conveyor, infill & mg openings. Protect openings & mg",,,item,"3,020.80",,460.80,"2,560.00",814.00,,946.00,,300.00,,,,,,,,,,500.00,,,,,,,,,,,,,,,,,,,,,,,,
331,Saw cut concrete; ne 100mm,,,m,11.66,,1.78,9.88,,,,,9.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Saw cut concrete; ne 200mm,,,m,23.32,,3.56,19.76,,,,,19.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Saw cut concrete; ne 250mm,,,m,29.15,,4.45,24.70,,,,,24.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Saw cut concrete; ne 300mm,,,m,34.98,,5.34,29.64,,,,,29.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Saw cut concrete; ne 400mm,,,m,46.63,,7.11,39.52,,,,,39.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Stitch drilling; 77mm dia at 60mm c/s; 200mm tk concrete.,,,m,219.17,,33.43,185.73,,,,,,,,,,,,,,,,,185.73,,,,,,,,,,,,,,,,,,,,,,
337,Stitch drilling; 77mm dia at 60mm c/s; 300mm tk concrete.,,,m,328.75,,50.15,278.60,,,,,,,,,,,,,,,,,278.60,,,,,,,,,,,,,,,,,,,,,,
338,Stitch drilling; 77mm dia at 60mm c/s; 1000mm tk concrete.,,,m,"1,095.83",,167.16,928.67,,,,,,,,,,,,,,,,,928.67,,,,,,,,,,,,,,,,,,,,,,
339,"Make good face of concrete after stitch drilling; inc break off scallops, concrete render to face and rub up to produce flat finish.",,,m2,73.50,,11.21,62.29,,8.89,,,10.59,4.89,3.96,3.96,,,,,,,10.00,,20.00,,,,,,,,,,,,,,,,,,,,,,
340,"Re-cycle materials; crush concrete on site & stockpile for re-use (min 1,000 m3); crusher only",,,m3,4.25,,0.65,3.60,,1.10,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,"Re-cycle materials; crush concrete on site & stockpile for re-use (min 1,000 m3); crusher plus 2 excavators & 2 attendant labourers",,,m3,13.52,,2.06,11.46,,2.20,,,,2.42,3.80,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Breakout face of 'out of tolerance' contig/secant piles; cut back 250mm,,,m,42.56,,6.49,36.07,,5.50,,,,6.05,4.32,4.32,,,,,,,,15.88,,,,,,,,,,,,,,,,,,,,,,,
343,Clean face of secant/contiguous/sheet piles; exposed during excavations,,,m2,16.04,,2.45,13.59,,4.89,,,,2.69,1.40,1.40,,,,,,,,3.21,,,,,,,,,,,,,,,,,,,,,,,
344,Clean face of secant/contiguous/sheet piles; exposed during excavations (large areas),,,m2,8.47,,1.29,7.18,,1.22,,,,1.34,0.70,0.70,,,,,,,,3.21,,,,,,,,,,,,,,,,,,,,,,,
345,"Remove obstructions; B/O reinfd conc, excavate & C/A",,,m3,133.92,,20.43,113.49,,21.10,,,,23.21,16.94,16.94,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
346,Level & compact formation / ground,,,m2,0.37,,0.06,0.32,,0.10,,,,0.11,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Level & compact bottom of excavation,,,m2,0.52,,0.08,0.44,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Level & compact bottom of excavation (large areas),,,m2,0.23,,0.04,0.20,,0.06,,,,0.07,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Proof rolling inc CBR testing,,,m2,0.74,,0.11,0.63,,0.10,,,,0.11,0.06,0.06,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,
350,Level & compact bottom of excavation (by hand small areas),,,m2,6.29,,0.96,5.33,,2.33,,,,,1.50,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,"Form sloping surface, grade & compact",,,m2,3.02,,0.46,2.56,,1.22,1.00,,,0.12,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Vibro compaction,,,m2,1.03,,0.16,0.87,,0.20,,,,0.22,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,CBR testing to establish bearing capacity,,,nr,295.00,,45.00,250.00,,,,,,,,,,,,,,,,,250.00,,,,,,,,,,,,,,,,,,,,,,
354,Apply herbicide to surface of ground; horizontal,,,m2,0.25,,0.04,0.21,,0.12,,,,,0.01,0.01,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Working Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Working space; reduce level exc; b/fill with SEM,,,m2,8.59,,1.31,7.28,,1.26,,,,1.38,0.73,0.73,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,
356,Working space; basements; b/fill with SEM,,,m2,11.15,,1.70,9.45,,1.33,,,,2.22,1.36,1.36,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,
357,Working space; pits; b/fill with SEM,,,m2,13.25,,2.02,11.23,,2.48,,,,2.73,1.42,1.42,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,
358,Working space; pile caps; b/fill with SEM,,,m2,14.03,,2.14,11.89,,2.68,,,,2.95,1.54,1.54,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,
359,Working space; pile caps; b/fill with SEM,,,m3,33.90,,5.17,28.73,,5.96,,,,6.56,3.42,3.42,,,,,,,,9.38,,,,,,,,,,,,,,,,,,,,,,,
360,Working space; trenches; b/fill with SEM,,,m2,14.40,,2.20,12.20,,2.22,,,,2.44,1.27,1.27,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,
361,Working space; reduce level exc; b/fill with imported type 1,,,m2,42.33,,6.46,35.87,,1.26,,,,1.38,0.73,0.73,,,,,,15.88,,15.88,,,,,,,,,,,,,,,,,,,,,,,
362,Working space; basements; b/fill with imported type 1,,,m2,44.89,,6.85,38.04,,1.33,,,,2.22,1.36,1.36,,,,,,15.88,,15.88,,,,,,,,,,,,,,,,,,,,,,,
363,Working space; pits; b/fill with imported type 1,,,m2,46.98,,7.17,39.81,,2.48,,,,2.73,1.42,1.42,,,,,,15.88,,15.88,,,,,,,,,,,,,,,,,,,,,,,
364,Working space; pile caps; b/fill with imported type 1,,,m2,47.76,,7.29,40.48,,2.68,,,,2.95,1.54,1.54,,,,,,15.88,,15.88,,,,,,,,,,,,,,,,,,,,,,,
365,Working space; trenches; b/fill with imported type 1,,,m2,45.98,,7.01,38.96,,2.22,,,,2.44,1.27,1.27,,,,,,15.88,,15.88,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earthwork Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
